day,count
2020-05-28,1
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,1
2020-06-08,11
2020-06-09,17
2020-06-10,10
2020-06-11,16
2020-06-12,12
2020-06-13,7
2020-06-14,6
2020-06-15,9
2020-06-16,17
2020-06-17,12
2020-06-18,10
2020-06-19,10
2020-06-20,2
2020-06-21,2
2020-06-22,2
2020-06-23,10
2020-06-24,11
2020-06-25,12
2020-06-26,9
2020-06-27,4
2020-06-28,2
2020-06-29,5
2020-06-30,5
2020-07-01,10
2020-07-02,12
2020-07-03,4
2020-07-04,4
2020-07-05,
2020-07-06,1
2020-07-07,
2020-07-08,2
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,2
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,1
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,2
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,1
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,1
2020-09-02,1
2020-09-03,2
2020-09-04,1
2020-09-05,1
2020-09-06,4
2020-09-07,5
2020-09-08,33
2020-09-09,60
2020-09-10,180
2020-09-11,91
2020-09-12,50
2020-09-13,64
2020-09-14,105
2020-09-15,156
2020-09-16,138
2020-09-17,76
2020-09-18,46
2020-09-19,54
2020-09-20,86
2020-09-21,150
2020-09-22,139
2020-09-23,160
2020-09-24,96
2020-09-25,46
2020-09-26,78
2020-09-27,96
2020-09-28,114
2020-09-29,178
2020-09-30,130
2020-10-01,66
2020-10-02,44
2020-10-03,98
2020-10-04,78
2020-10-05,150
2020-10-06,128
2020-10-07,141
2020-10-08,79
2020-10-09,63
2020-10-10,92
2020-10-11,117
2020-10-12,131
2020-10-13,135
2020-10-14,131
2020-10-15,94
2020-10-16,53
2020-10-17,78
2020-10-18,79
2020-10-19,81
2020-10-20,97
2020-10-21,136
2020-10-22,72
2020-10-23,39
2020-10-24,34
2020-10-25,31
2020-10-26,60
2020-10-27,83
2020-10-28,84
2020-10-29,104
2020-10-30,63
2020-10-31,74
2020-11-01,89
2020-11-02,140
2020-11-03,127
2020-11-04,159
2020-11-05,172
2020-11-06,70
2020-11-07,92
2020-11-08,84
2020-11-09,83
2020-11-10,109
2020-11-11,185
2020-11-12,91
2020-11-13,34
2020-11-14,39
2020-11-15,49
2020-11-16,55
2020-11-17,114
2020-11-18,111
2020-11-19,78
